category,type,amount,timestamp,narration,initialBalance,mode,billImage
others,DEBIT,500.0,2022-11-19T00:00:00.000+00:00,upi-kuldeep s o chattar -kuldeep9650@ybl -punb0679900-232343088841-na (ref# 232343088841),15889.36,OTHERS,
others,DEBIT,200.0,2022-11-19T00:00:00.000+00:00,upi-lata-paytm-73272027@paytm-pytm0123456-232368787534-oid202211192030370 (ref# 232368787534),15389.36,OTHERS,
others,DEBIT,150.0,2022-11-19T00:00:00.000+00:00,upi-rg sons and others l-paytm-70153610@ paytm-pytm0123456-232392321751-oid202211192141160 (ref# 232392321751),15189.36,OTHERS,
others,DEBIT,150.0,2022-11-19T00:00:00.000+00:00,upi-vijay kumar-paytm-62448237@paytm-pyt m0123456-232374539066-oid202211192145340 (ref# 232374539066),15039.36,OTHERS,
others,DEBIT,3.0,2022-11-19T00:00:00.000+00:00,upi-laxmi das-paytm-70579281@paytm-pytm0123456-232374604923-oid202211192146440 (ref# 232374604923),14889.36,OTHERS,
others,DEBIT,10.0,2022-11-19T00:00:00.000+00:00,upi-laxmi das-paytm-70579281@paytm-pytm0123456-232374800857-oid202211192149590 (ref# 232374800857),14886.36,OTHERS,
others,DEBIT,10.0,2022-11-19T00:00:00.000+00:00,upi-laxmi das-paytm-70579281@paytm-pytm0123456-232375095057-oid202211192155020 (ref# 232375095057),14876.36,OTHERS,
others,DEBIT,60.0,2022-11-19T00:00:00.000+00:00,upi-bhagavan das-paytm-67127062@paytm-py tm0123456-232375548273-oid202211192203230 (ref# 232375548273),14866.36,OTHERS,
others,DEBIT,260.0,2022-11-20T00:00:00.000+00:00,upi-rahul tyagi-paytm-25466413@paytm-pyt m0123456-232416033796-oid202211201155150 (ref# 232416033796),14806.36,OTHERS,
others,DEBIT,250.0,2022-11-20T00:00:00.000+00:00,upi-rahul tyagi-paytm-25466413@paytm-pyt m0123456-232426387136-oid202211201159550 (ref# 232426387136),14546.36,OTHERS,
others,DEBIT,9801.0,2022-11-20T00:00:00.000+00:00,upi-cred-cred.ccbp@yesbank-yesb0000022-232425997936-cred (ref# 232425997936),14296.36,OTHERS,
others,DEBIT,200.0,2022-11-21T00:00:00.000+00:00,upi-arvind kumar-6397351773@paytm-hdfc0000573-232557005496-na (ref# 232557005496),4495.36,OTHERS,
others,CREDIT,1.0,2022-11-22T00:00:00.000+00:00,upi-fpl technologies pri-onecard@idfcban k-idfb0040101-232613598079-onecard verif icati (ref# 232613598079),4297.36,OTHERS,
others,DEBIT,200.0,2022-11-22T00:00:00.000+00:00,upi-anil kumar-9759561057@paytm-icic0001578-232635971429-na (ref# 232635971429),4296.36,OTHERS,
others,DEBIT,120.0,2022-11-22T00:00:00.000+00:00,upi-urmila sharma-paytm-70358060@paytm-p ytm0123456-232654371517-oid202211221834430 (ref# 232654371517),4096.360000000001,OTHERS,
others,DEBIT,825.0,2022-11-23T00:00:00.000+00:00,upi-abhishek tyagi-q663749893@ybl-yesb0y blupi-232766411309-na (ref# 232766411309),3976.36,OTHERS,
others,DEBIT,1050.0,2022-11-24T00:00:00.000+00:00,upi-bajaj prime fuels hp-paytm-544978@pa ytm-pytm0123456-232883998131-oid202211240843070 (ref# 232883998131),3151.36,OTHERS,
others,DEBIT,1200.0,2022-11-25T00:00:00.000+00:00,upi-upkar raghav-upkarraghav0@paytm-dbss 0in0811-232900957131-na (ref# 232900957131),2101.36,OTHERS,
home_utility,DEBIT,155.25,2022-11-25T00:00:00.000+00:00,upi-airtel-payair7673@paytm-pytm0123456-232980083720-oid19713587225@air (ref# 232980083720),901.36,OTHERS,
others,DEBIT,30.0,2022-11-25T00:00:00.000+00:00,upi-bhagavan das-paytm-67127062@paytm-py tm0123456-232950017471-oid202211251827570 (ref# 232950017471),746.11,OTHERS,
others,CREDIT,4000.0,2022-11-26T00:00:00.000+00:00,upi-kuldeep-9650946599@paytm-pytm0123456 -233038599672-na (ref# 233038599672),8716.11,OTHERS,
others,DEBIT,120.0,2022-11-26T00:00:00.000+00:00,upi-urmila sharma-paytm-70358060@paytm-p ytm0123456-233066363288-oid202211262000530 (ref# 233066363288),4716.11,OTHERS,
others,DEBIT,282.0,2022-11-28T00:00:00.000+00:00,upi-ecomexpress-payphi.ecomexpress@icici -icic0dc0099-233230568121-na (ref# 233230568121),4596.11,OTHERS,
others,CREDIT,100.0,2022-11-28T00:00:00.000+00:00,upi-naval kumar-8506813097@paytm-ioba0000457-233242078471-na (ref# 233242078471),4514.11,OTHERS,
others,DEBIT,277.0,2022-11-29T00:00:00.000+00:00,upi-shadowfax technologi-bharatpe30059351755@yesbankltd-yesb0yesupi-233325041546 -pay by whatsapp (ref# 233325041546),4414.11,OTHERS,
others,CREDIT,200.0,2022-11-29T00:00:00.000+00:00,upi-arvind kumar-arvindchandela15790-1@o khdfcbank-hdfc0000573-233325172662-upi (ref# 233325172662),4537.11,OTHERS,
others,DEBIT,120.0,2022-11-30T00:00:00.000+00:00,upi-urmila sharma-paytm-70358060@paytm-p ytm0123456-233451486238-oid202211301839210 (ref# 233451486238),4337.11,OTHERS,
others,DEBIT,26.0,2022-11-30T00:00:00.000+00:00,upi-sukhadev so dhiraj s-8860259325@ibl-punb0220400-233452687085-na (ref# 233452687085),4217.11,OTHERS,
others,DEBIT,200.0,2022-11-30T00:00:00.000+00:00,upi-manavendra garg-q599230946@ybl-punb0478800-233464380844-na (ref# 233464380844),4191.110000000001,OTHERS,
