category,type,amount,timestamp,narration,initialBalance,mode,billImage
shopping,DEBIT,4000,2023-01-03,upi/122609308010/from:7044223776@ybl/to:myntra@ybl/ payment for 7eff99fa66c0483184a1c0052342e624,100000.0,UPI,
shopping,CREDIT,100,2023-01-03,upi/122609308010/from:7044223776@ybl/to:myntra@ybl/ payment for 7eff99fa66c0483184a1c0052342e624,96200.0,UPI,
others,DEBIT,2500,2023-01-05,pcd/536799xxxxxx7446/policybazaar,96100.0,OTHERS,
others,DEBIT,250,2023-01-07,upi/218128539608/pay to bharatpe merchant/bharatpe,93600.0,UPI,
transport,DEBIT,500,2023-01-07,pcd/536799xxxxxx7446/hp petroleum,93350.0,OTHERS,
others,DEBIT,2500,2023-01-08,upi/515429xxxxxx7446/mutualfunds,92850.0,UPI,
others,DEBIT,150,2023-01-12,upi/218128539608/pay to bharatpe merchant/bharatpe,90350.0,UPI,
home_utility,DEBIT,8000,2023-01-15,upi/231948xxxxxx7446/rent,90200.0,UPI,
others,DEBIT,1000,2023-01-19,upi/218128539608/electricity/tpslqr@mseb,82200.0,UPI,
others,DEBIT,1500,2023-01-24,upi/218128539608/pay to bharatpe merchant/bharatpe,81200.0,UPI,
others,CREDIT,300,2023-01-26,upi/218128539608/received from 9546215863@ybl,80300.0,UPI,
others,CREDIT,500,2023-01-27,upi/218128539608/received from 9881425632@oksbi/googlepay,81000.0,UPI,
others,CREDIT,30000,2023-02-01,neft/sbin322147057322/employee salary ,140500.0,OTHERS,
others,DEBIT,150,2023-02-02,upi/218128539608/pay to bharatpe merchant/bharatpe,110500.0,UPI,
others,DEBIT,2500,2023-02-05,pcd/536799xxxxxx7446/policybazaar,110350.0,OTHERS,
others,DEBIT,2500,2023-02-08,upi/515429xxxxxx7446/mutualfunds,107850.0,UPI,
transport,DEBIT,500,2023-02-10,pcd/536799xxxxxx7446/hp petroleum,105350.0,OTHERS,
others,DEBIT,1500,2023-02-13,upi/218128539608/pay to bharatpe merchant/bharatpe,104850.0,UPI,
home_utility,DEBIT,8000,2023-02-15,upi/231948xxxxxx7446/rent,103350.0,UPI,
others,DEBIT,1200,2023-02-19,upi/218128539608/electricity/tpslqr@mseb,95350.0,UPI,
others,DEBIT,30000,2023-02-22,check to mr. xyz,124150.0,OTHERS,
others,CREDIT,30000,2023-02-25,i/w chq rtn:38:amount / name differ on advice,124150.0,OTHERS,
transport,DEBIT,700,2023-02-27,pcd/536799xxxxxx7446/hp petroleum,94150.0,OTHERS,
others,CREDIT,30000,2023-03-01,neft/sbin322147057322/employee salary ,153450.0,OTHERS,
others,DEBIT,5000,2023-03-01,atw/536799xxxxxx7446/idbi jalna rd vidy ngr auraga,123450.0,ATM,
others,DEBIT,2500,2023-03-05,pcd/536799xxxxxx7446/policybazaar,118450.0,OTHERS,
others,DEBIT,2500,2023-03-08,upi/515429xxxxxx7446/mutualfunds,115950.0,UPI,
transport,DEBIT,500,2023-03-10,pcd/536799xxxxxx7446/hp petroleum,113450.0,OTHERS,
others,DEBIT,400,2023-03-12,upi/218128539608/pay to bharatpe merchant/bharatpe,112950.0,UPI,
home_utility,DEBIT,8000,2023-03-15,upi/231948xxxxxx7446/rent,112550.0,UPI,
others,DEBIT,1400,2023-03-19,upi/218128539608/electricity/tpslqr@mseb,104550.0,UPI,
others,DEBIT,12000,2023-03-30,itr,103150.0,OTHERS,
others,CREDIT,30000,2023-04-01,neft/sbin322147057322/employee salary ,151150.0,OTHERS,
others,DEBIT,2500,2023-04-05,pcd/536799xxxxxx7446/policybazaar,121150.0,OTHERS,
transport,DEBIT,500,2023-04-06,pcd/536799xxxxxx7446/hp petroleum,118650.0,OTHERS,
others,DEBIT,2500,2023-04-08,upi/515429xxxxxx7446/mutualfunds,118150.0,UPI,
others,DEBIT,80,2023-04-12,upi/218128539608/pay to bharatpe merchant/bharatpe,115650.0,UPI,
others,CREDIT,150,2023-04-14,neft/dividend/reliance ,115870.0,OTHERS,
home_utility,DEBIT,8000,2023-04-15,upi/231948xxxxxx7446/rent,115720.0,UPI,
others,DEBIT,2800,2023-04-18,upi/218128539608/pay to bharatpe merchant/bharatpe,107720.0,UPI,
others,DEBIT,900,2023-04-19,upi/218128539608/electricity/tpslqr@mseb,104920.0,UPI,
others,DEBIT,29900,2023-04-27,upi/mandate for ipo,104020.0,UPI,
shopping,DEBIT,2100,2023-04-29,upi/122609308010/from:7044223776@ybl/to:myntra@ybl/ payment for 7eff99fa66c0483184a1c0052342e624,74120.0,UPI,
others,CREDIT,30000,2023-05-01,neft/sbin322147057322/employee salary ,132020.0,OTHERS,
others,DEBIT,10000,2023-05-03,atw/536799xxxxxx7446/hdfc atm ,102020.0,ATM,
others,DEBIT,2500,2023-05-05,pcd/536799xxxxxx7446/policybazaar,92020.0,OTHERS,
others,DEBIT,3600,2023-05-05,upi/irctc,89520.0,UPI,
others,DEBIT,2500,2023-05-08,upi/515429xxxxxx7446/mutualfunds,85920.0,UPI,
others,DEBIT,10000,2023-05-13,atw/536799xxxxxx7446/hdfc atm ,83420.0,ATM,
home_utility,DEBIT,8000,2023-05-15,upi/231948xxxxxx7446/rent,73420.0,UPI,
others,DEBIT,800,2023-05-19,upi/218128539608/electricity/tpslqr@mseb,65420.0,UPI,
others,DEBIT,1300,2023-05-23,upi/218128539608/pay to bharatpe merchant/bharatpe,64620.0,UPI,
others,DEBIT,600,2023-05-27,upi/218128539608/pay to bharatpe merchant/bharatpe,63320.0,UPI,
others,CREDIT,30000,2023-06-01,neft/sbin322147057322/employee salary ,122720.0,OTHERS,
